"x","y","p"
56,121,0
56,122,0
57,120,0
57,121,0
57,122,0
57,123,0
57,124,0
58,118,0
58,119,0
58,120,0
58,121,0
58,122,0
58,123,2
58,124,5
59,119,0
59,120,0
59,121,0
59,122,0
59,123,2
60,118,0
60,119,0
60,120,0
60,121,0
60,122,0
60,123,0
60,124,5
61,72,1
61,73,0
61,74,0
61,75,1
61,76,0
61,99,5
61,100,0
61,101,0
61,102,1
61,104,0
61,105,5
61,106,4
61,107,0
61,117,0
61,118,0
61,119,0
61,120,1
61,121,1
61,122,1
61,125,5
62,68,1
62,69,0
62,70,0
62,71,1
62,72,1
62,73,0
62,74,0
62,75,0
62,76,0
62,95,4
62,96,2
62,97,5
62,98,4
62,99,5
62,100,4
62,101,4
62,102,0
62,103,1
62,104,3
62,105,4
62,106,4
62,107,2
62,108,0
62,115,0
62,116,0
62,117,0
62,118,0
62,119,0
62,120,0
62,121,0
62,122,0
62,123,2
62,124,5
62,125,0
62,126,0
63,46,0
63,47,0
63,48,0
63,61,5
63,62,3
63,63,3
63,64,3
63,65,3
63,66,2
63,67,1
63,68,0
63,69,0
63,70,1
63,71,3
63,72,3
63,73,0
63,74,1
63,75,3
63,76,2
63,94,3
63,95,4
63,96,4
63,97,4
63,98,3
63,99,4
63,100,4
63,101,3
63,102,3
63,103,4
63,104,3
63,105,3
63,106,5
63,107,5
63,108,0
63,109,0
63,113,0
63,114,0
63,115,0
63,116,0
63,117,0
63,118,2
63,119,0
63,120,0
63,121,0
63,122,0
63,123,0
63,124,0
63,125,0
63,126,0
63,127,0
64,45,1
64,46,1
64,47,0
64,48,0
64,60,2
64,61,3
64,62,3
64,63,3
64,64,3
64,65,3
64,66,2
64,67,2
64,68,2
64,69,0
64,70,0
64,71,2
64,72,3
64,73,2
64,74,2
64,75,3
64,76,5
64,94,5
64,95,5
64,96,5
64,97,5
64,98,4
64,99,4
64,100,4
64,101,5
64,102,4
64,103,3
64,104,3
64,105,4
64,106,5
64,107,0
64,108,0
64,109,4
64,110,0
64,112,0
64,113,0
64,114,0
64,115,0
64,116,1
64,117,0
64,118,0
64,119,0
64,120,0
64,121,0
64,122,0
64,123,0
64,124,0
64,125,0
64,126,0
64,127,0
64,128,3
65,45,1
65,46,0
65,47,1
65,48,0
65,61,4
65,62,3
65,63,2
65,64,3
65,65,3
65,66,2
65,67,3
65,68,5
65,69,0
65,70,3
65,71,3
65,72,3
65,73,4
65,74,2
65,75,2
65,93,0
65,94,0
65,95,5
65,96,5
65,97,5
65,98,5
65,99,4
65,100,5
65,101,4
65,102,4
65,103,4
65,104,4
65,105,4
65,106,4
65,107,3
65,108,4
65,109,4
65,110,0
65,111,0
65,112,0
65,113,0
65,114,0
65,115,0
65,116,0
65,117,0
65,118,0
65,119,0
65,120,0
65,121,0
65,122,0
65,123,0
65,124,0
65,125,0
65,126,0
65,127,0
65,128,0
65,129,5
66,44,0
66,45,0
66,46,0
66,47,0
66,61,2
66,62,3
66,63,2
66,64,3
66,65,3
66,66,2
66,67,3
66,68,3
66,69,5
66,70,3
66,71,5
66,72,3
66,73,4
66,74,0
66,75,2
66,92,0
66,93,0
66,94,0
66,95,5
66,96,5
66,97,5
66,98,5
66,99,3
66,100,5
66,101,3
66,102,4
66,103,4
66,104,4
66,105,4
66,106,4
66,107,4
66,108,4
66,109,3
66,110,0
66,111,0
66,112,0
66,113,0
66,114,0
66,115,0
66,116,0
66,117,0
66,118,5
66,119,0
66,120,1
66,121,2
66,122,0
66,123,0
66,124,3
66,125,0
66,126,0
66,127,0
66,128,0
66,129,0
66,130,5
67,44,0
67,45,0
67,46,0
67,47,0
67,61,3
67,62,2
67,63,3
67,64,4
67,65,5
67,66,2
67,67,2
67,68,3
67,69,4
67,70,3
67,71,4
67,72,2
67,73,2
67,74,0
67,75,0
67,90,0
67,91,0
67,92,0
67,93,0
67,94,0
67,95,0
67,96,0
67,97,0
67,98,0
67,99,0
67,100,4
67,101,5
67,102,4
67,103,4
67,104,4
67,105,3
67,106,4
67,107,4
67,108,3
67,109,0
67,110,0
67,111,0
67,112,0
67,113,0
67,114,0
67,115,0
67,116,0
67,117,0
67,118,0
67,119,0
67,120,0
67,121,3
67,122,0
67,123,4
67,124,0
67,125,0
67,126,0
67,127,0
67,128,0
67,129,0
67,133,4
68,43,0
68,44,0
68,45,0
68,46,0
68,55,5
68,56,5
68,57,1
68,58,3
68,59,5
68,60,3
68,61,3
68,62,3
68,63,3
68,64,5
68,65,4
68,66,4
68,67,5
68,68,3
68,69,5
68,70,5
68,71,4
68,72,4
68,73,5
68,74,0
68,75,0
68,89,0
68,90,0
68,91,5
68,92,5
68,93,5
68,94,0
68,95,0
68,96,0
68,97,0
68,98,0
68,99,0
68,100,5
68,101,0
68,102,3
68,103,4
68,104,4
68,105,4
68,106,4
68,107,4
68,108,0
68,109,0
68,110,0
68,111,0
68,112,0
68,113,0
68,114,0
68,115,0
68,116,0
68,117,0
68,118,0
68,119,0
68,120,0
68,121,5
68,122,5
68,123,5
68,124,5
68,125,0
68,126,0
68,127,0
68,128,0
68,132,4
68,134,5
69,41,0
69,42,0
69,43,0
69,44,0
69,45,0
69,46,0
69,47,5
69,48,0
69,53,5
69,54,0
69,55,0
69,56,5
69,57,5
69,58,5
69,59,5
69,60,3
69,61,4
69,62,5
69,63,2
69,64,5
69,65,5
69,66,4
69,67,4
69,68,5
69,69,5
69,70,5
69,71,4
69,72,5
69,73,5
69,74,3
69,75,0
69,76,0
69,87,0
69,88,0
69,89,0
69,90,0
69,91,0
69,92,0
69,93,5
69,94,0
69,95,0
69,96,0
69,97,0
69,98,0
69,99,0
69,100,0
69,101,5
69,102,5
69,103,5
69,104,4
69,105,4
69,106,5
69,107,4
69,108,0
69,109,0
69,110,0
69,111,0
69,112,0
69,113,0
69,114,0
69,115,0
69,116,0
69,117,0
69,118,0
69,119,0
69,120,0
69,121,5
69,122,5
69,123,5
69,124,5
69,125,5
69,126,0
69,127,0
69,128,0
69,129,4
69,130,3
70,40,0
70,41,0
70,42,0
70,43,0
70,44,0
70,45,0
70,46,0
70,47,0
70,48,0
70,49,0
70,50,0
70,51,0
70,52,0
70,53,1
70,54,2
70,55,2
70,56,5
70,57,5
70,58,5
70,59,3
70,60,5
70,61,4
70,62,5
70,63,5
70,64,4
70,65,4
70,66,2
70,67,3
70,68,5
70,69,5
70,70,5
70,71,3
70,72,3
70,73,0
70,74,5
70,75,5
70,76,0
70,86,0
70,87,0
70,88,0
70,89,0
70,90,1
70,91,0
70,92,0
70,93,0
70,94,0
70,95,0
70,96,0
70,97,0
70,98,0
70,99,0
70,100,0
70,101,1
70,102,4
70,103,5
70,104,4
70,105,5
70,106,4
70,107,5
70,108,0
70,109,0
70,110,0
70,111,0
70,112,0
70,113,0
70,114,0
70,115,0
70,116,0
70,117,0
70,118,0
70,119,5
70,120,4
70,121,5
70,122,5
70,123,5
70,124,2
70,125,5
70,126,5
70,127,0
70,128,3
70,129,4
70,130,4
71,40,0
71,41,0
71,42,0
71,43,0
71,44,0
71,45,0
71,46,0
71,47,0
71,48,0
71,49,0
71,50,0
71,51,0
71,52,0
71,53,1
71,54,2
71,55,2
71,56,5
71,57,5
71,58,5
71,59,3
71,60,5
71,61,5
71,62,3
71,63,3
71,64,3
71,65,3
71,66,3
71,67,4
71,68,4
71,69,4
71,70,5
71,71,5
71,72,5
71,73,4
71,74,5
71,75,3
71,76,3
71,77,3
71,85,1
71,86,0
71,87,0
71,88,0
71,89,0
71,90,0
71,91,0
71,92,0
71,93,0
71,94,0
71,95,0
71,96,0
71,97,0
71,98,0
71,99,0
71,100,0
71,101,5
71,102,5
71,103,4
71,104,4
71,105,5
71,106,0
71,107,0
71,108,0
71,109,0
71,110,0
71,111,0
71,112,0
71,113,0
71,114,0
71,115,0
71,116,0
71,117,0
71,118,0
71,119,5
71,120,5
71,121,3
71,122,4
71,123,5
71,124,4
71,125,0
71,126,0
71,127,0
71,128,5
71,129,3
72,40,0
72,41,0
72,42,0
72,43,0
72,44,0
72,45,0
72,46,0
72,47,0
72,48,0
72,49,0
72,50,0
72,51,0
72,52,0
72,53,0
72,54,1
72,55,1
72,56,0
72,57,0
72,58,2
72,59,2
72,60,3
72,61,5
72,62,3
72,63,3
72,64,3
72,65,4
72,66,3
72,67,5
72,68,4
72,69,4
72,70,3
72,71,4
72,72,5
72,73,4
72,74,5
72,75,4
72,76,4
72,77,2
72,83,0
72,84,0
72,85,1
72,86,0
72,87,0
72,88,0
72,89,0
72,90,0
72,91,0
72,92,0
72,93,0
72,94,0
72,95,0
72,96,1
72,97,1
72,98,1
72,99,0
72,100,1
72,101,3
72,102,2
72,103,1
72,104,5
72,105,5
72,106,0
72,107,0
72,108,0
72,109,0
72,110,0
72,111,0
72,112,0
72,113,0
72,114,0
72,115,0
72,116,0
72,117,0
72,118,0
72,119,0
72,120,4
72,121,5
72,122,5
72,123,0
72,124,0
72,125,0
72,126,0
72,127,0
72,128,0
72,129,4
72,130,0
73,41,0
73,42,0
73,43,0
73,44,0
73,45,0
73,46,0
73,47,0
73,48,0
73,49,0
73,50,0
73,51,0
73,52,0
73,53,0
73,54,1
73,55,2
73,56,5
73,57,0
73,58,4
73,59,3
73,60,4
73,61,4
73,62,0
73,63,0
73,64,4
73,65,3
73,66,3
73,67,4
73,68,5
73,69,5
73,70,4
73,71,4
73,72,3
73,73,4
73,74,5
73,75,4
73,76,5
73,77,5
73,78,0
73,82,0
73,83,0
73,84,0
73,85,0
73,86,0
73,87,0
73,88,0
73,89,0
73,90,0
73,91,0
73,92,0
73,93,0
73,94,0
73,95,0
73,96,0
73,97,1
73,98,1
73,99,1
73,100,1
73,101,5
73,102,5
73,103,5
73,104,5
73,105,0
73,106,0
73,107,0
73,108,0
73,109,0
73,110,0
73,111,0
73,112,0
73,113,0
73,114,0
73,115,0
73,116,5
73,117,3
73,118,5
73,119,5
73,120,5
73,121,4
73,122,5
73,123,0
73,124,0
73,125,0
73,126,0
73,127,0
73,128,0
73,129,0
73,130,3
74,41,0
74,42,0
74,43,0
74,44,0
74,45,0
74,46,0
74,47,0
74,48,0
74,49,0
74,50,0
74,51,0
74,52,0
74,53,0
74,54,1
74,55,2
74,56,2
74,57,0
74,58,5
74,59,3
74,60,3
74,61,4
74,62,3
74,63,3
74,64,3
74,65,4
74,66,3
74,67,5
74,68,3
74,69,1
74,70,5
74,71,2
74,72,4
74,73,5
74,74,4
74,75,5
74,76,4
74,77,5
74,78,5
74,81,1
74,82,0
74,83,0
74,84,0
74,85,0
74,86,0
74,87,0
74,88,0
74,89,0
74,90,0
74,91,0
74,92,0
74,93,0
74,94,0
74,95,0
74,96,0
74,97,3
74,98,5
74,99,2
74,100,1
74,101,0
74,102,1
74,103,0
74,104,0
74,105,0
74,106,0
74,107,0
74,108,0
74,109,0
74,110,0
74,111,0
74,112,0
74,113,0
74,114,0
74,115,0
74,116,5
74,117,3
74,118,5
74,119,5
74,120,5
74,121,5
74,122,0
74,123,1
74,124,0
74,125,0
74,126,0
74,127,0
74,128,0
74,129,0
74,130,0
75,42,0
75,43,0
75,44,0
75,45,0
75,46,0
75,47,0
75,48,0
75,49,0
75,50,0
75,51,0
75,52,0
75,53,0
75,54,0
75,55,3
75,56,3
75,57,0
75,58,0
75,59,2
75,60,3
75,61,5
75,62,4
75,63,4
75,64,3
75,65,4
75,66,5
75,67,2
75,68,5
75,69,2
75,70,4
75,71,5
75,72,0
75,73,5
75,74,5
75,75,4
75,76,5
75,77,2
75,78,4
75,79,2
75,80,2
75,81,0
75,82,0
75,83,0
75,84,0
75,85,0
75,86,0
75,87,0
75,88,0
75,89,0
75,90,0
75,91,0
75,92,0
75,93,0
75,94,0
75,95,0
75,96,0
75,97,2
75,98,5
75,99,5
75,100,0
75,101,0
75,102,0
75,103,0
75,104,0
75,105,0
75,106,0
75,107,0
75,108,0
