"hour","x","y","twitter","instagram"
0,83,66,0,1
0,94,76,0,1
0,94,112,0,1
0,95,73,0,1
0,99,112,0,1
0,103,41,0,1
0,105,79,0,1
0,106,77,0,1
0,107,57,0,1
0,109,72,0,2
0,109,73,0,1
0,110,90,0,1
0,112,70,0,1
0,113,78,0,2
0,113,80,0,1
0,114,76,0,5
0,115,80,0,2
0,115,81,1,0
0,116,72,2,0
0,117,78,0,2
0,117,82,0,1
0,118,79,0,2
0,118,80,0,3
0,118,82,0,1
0,119,68,0,1
0,119,78,0,2
0,119,98,0,1
0,120,72,0,1
0,120,77,0,1
0,120,78,0,5
0,120,79,0,1
0,121,87,0,1
0,122,80,0,1
0,122,113,0,1
0,123,70,0,1
0,123,87,0,1
0,124,68,0,2
0,124,93,0,1
0,125,78,0,1
0,125,87,0,1
0,125,99,0,1
0,126,56,0,1
0,126,83,0,1
0,126,87,0,1
0,127,58,0,1
0,127,70,0,1
0,127,86,0,1
0,128,61,1,1
0,128,73,0,1
0,128,82,0,1
0,129,69,0,1
0,129,76,0,3
0,129,78,0,1
0,129,91,0,1
0,130,71,0,1
0,130,76,0,2
0,130,77,0,1
0,131,67,0,1
0,131,71,0,1
0,131,72,0,16
0,131,73,1,9
0,131,75,0,1
0,131,76,0,3
0,131,78,0,1
0,131,94,0,1
0,132,66,0,1
0,132,73,0,3
0,132,74,0,8
0,132,108,0,1
0,133,56,0,1
0,133,70,0,1
0,134,64,1,2
0,134,68,1,2
0,134,69,0,1
0,134,70,0,3
0,134,71,0,2
0,134,73,0,1
0,134,75,0,1
0,134,81,0,1
0,134,87,0,6
0,134,95,0,3
0,135,63,0,2
0,135,69,0,1
0,135,75,0,1
0,135,76,0,3
0,135,83,0,1
0,136,68,0,1
0,136,70,1,3
0,136,73,0,1
0,136,74,0,3
0,136,79,0,2
0,137,65,0,2
0,137,66,0,3
0,137,67,0,1
0,137,70,0,1
0,137,72,0,2
0,137,78,0,1
0,138,61,0,1
0,138,67,0,8
0,138,69,0,3
0,138,71,0,1
0,138,72,0,4
0,138,79,3,112
0,138,80,0,1
0,140,68,0,1
0,140,70,0,5
0,141,62,1,2
0,141,63,0,1
0,141,65,0,1
0,141,67,0,1
0,141,68,0,1
0,141,69,1,0
0,141,70,0,4
0,142,73,0,1
0,143,58,1,0
0,143,73,0,1
0,143,79,0,7
0,143,80,0,1
0,143,81,0,1
0,144,58,1,1
0,144,61,0,1
0,144,85,0,20
0,145,74,0,1
0,146,64,0,2
0,146,65,1,0
0,146,78,0,1
0,146,80,0,1
0,147,87,0,1
0,147,94,0,2
0,148,87,1,1
0,148,94,0,1
0,148,95,0,1
0,149,75,0,1
0,149,77,0,1
0,149,78,0,1
0,149,89,0,1
0,150,78,1,8
0,150,79,1,0
0,150,113,0,1
0,151,58,0,1
0,151,71,0,1
0,151,79,0,1
0,151,84,0,1
0,152,77,0,1
0,153,66,0,1
0,153,75,0,1
0,153,80,0,1
0,154,55,0,1
0,154,102,0,1
0,155,71,1,7
0,156,75,0,1
0,156,77,0,1
0,157,56,0,3
0,157,84,0,1
0,162,84,0,1
0,163,66,0,1
0,165,71,0,1
0,166,94,0,1
0,168,67,0,1
0,173,97,0,1
1,74,119,0,1
1,97,83,0,1
1,99,112,0,1
1,100,45,0,1
1,104,80,0,1
1,105,79,0,1
1,110,72,0,1
1,110,74,0,1
1,110,82,0,1
1,112,82,0,1
1,116,72,1,0
1,118,66,0,1
1,118,82,0,1
1,119,66,0,1
1,120,66,0,1
1,120,78,1,4
1,120,79,0,1
1,120,90,0,1
1,121,77,0,1
1,121,78,0,1
1,122,79,0,1
1,122,80,0,2
1,125,63,0,1
1,125,81,0,1
1,128,76,0,1
1,128,81,0,1
1,129,68,0,2
1,129,76,0,1
1,129,79,0,1
1,129,80,0,1
1,130,68,2,1
1,130,73,0,1
1,131,67,0,7
1,131,72,0,6
1,131,73,0,4
1,131,76,0,2
1,132,70,1,0
1,132,73,0,3
1,132,74,0,3
1,132,81,0,1
1,134,64,0,1
1,134,72,0,1
1,134,87,0,1
1,135,69,0,2
1,135,76,0,1
1,135,83,0,1
1,136,70,0,4
1,136,71,1,2
1,136,72,0,1
1,136,73,0,1
1,137,62,0,1
1,137,66,0,1
1,137,68,0,2
1,137,82,0,1
1,138,67,0,1
1,138,69,0,1
1,138,70,0,4
1,138,71,0,1
1,138,79,3,64
1,139,62,0,2
1,139,71,0,1
1,140,58,1,0
1,140,67,0,2
1,140,69,3,0
1,140,84,0,1
1,141,62,0,2
1,141,68,0,1
1,141,70,0,9
1,143,79,1,2
1,143,80,1,1
1,144,81,0,1
1,144,85,0,5
1,146,64,0,1
1,146,79,0,1
1,147,75,0,1
1,147,76,0,1
1,147,85,0,1
1,147,94,0,1
1,148,79,3,0
1,148,80,0,1
1,148,87,1,0
1,149,79,1,0
1,149,88,0,1
1,149,90,0,1
1,150,72,2,0
1,150,79,0,1
1,151,77,0,1
1,153,74,0,1
1,153,80,0,1
1,155,71,0,1
1,158,62,1,0
1,161,71,0,1
1,164,66,0,1
1,166,94,0,1
1,167,96,1,0
1,168,90,0,3
2,79,62,1,0
2,84,66,0,1
2,104,81,0,1
2,107,57,0,1
2,109,72,0,1
2,113,78,0,1
2,116,72,1,0
2,117,68,0,1
2,119,77,0,1
2,120,68,0,1
2,121,73,0,1
2,121,77,0,1
2,121,79,0,1
2,125,78,0,3
2,127,84,0,1
2,128,72,0,1
2,129,69,0,1
2,129,76,0,1
2,129,84,0,1
2,130,73,0,1
2,131,72,0,2
2,131,73,0,7
2,132,74,0,1
2,133,103,0,1
2,134,70,1,0
2,135,63,0,3
2,135,64,0,1
2,135,71,0,1
2,135,83,0,1
2,135,101,0,1
2,136,62,0,1
2,136,67,0,1
2,136,70,0,1
2,136,74,1,0
2,136,87,0,2
2,137,65,0,2
2,138,69,0,1
2,138,72,0,1
2,138,79,1,54
2,139,70,0,1
2,140,59,0,1
2,141,70,0,2
2,141,72,0,1
2,142,78,0,1
2,143,68,0,1
2,143,79,0,1
2,144,54,0,1
2,144,85,0,1
2,145,85,0,1
2,146,64,0,2
2,146,95,0,1
2,147,66,1,0
2,148,76,0,1
2,148,87,1,0
2,150,77,0,1
2,150,78,0,2
2,151,77,0,1
2,153,73,1,0
2,154,74,0,1
