"hour","x","y","twitter","instagram"
0,69,59,0,1
0,79,72,0,1
0,85,113,0,1
0,94,76,0,1
0,103,82,0,1
0,104,80,0,2
0,104,81,0,4
0,104,104,1,0
0,105,78,0,1
0,105,79,0,1
0,105,80,0,1
0,107,57,0,1
0,107,84,0,1
0,109,72,0,2
0,110,78,0,1
0,111,82,0,1
0,112,70,0,1
0,112,82,0,1
0,113,76,0,3
0,113,81,0,1
0,114,76,0,2
0,115,80,0,1
0,116,72,1,0
0,116,81,1,2
0,116,88,0,1
0,117,81,0,1
0,117,82,0,1
0,118,80,1,8
0,119,66,0,1
0,119,79,0,4
0,119,87,0,1
0,120,78,0,5
0,121,77,0,3
0,121,78,0,3
0,121,80,0,4
0,121,88,0,2
0,122,47,0,2
0,122,65,0,1
0,122,78,0,1
0,123,35,0,1
0,123,62,0,1
0,123,68,0,1
0,124,74,0,1
0,124,96,3,0
0,126,52,0,1
0,126,60,0,1
0,128,73,0,1
0,129,55,0,1
0,129,68,0,2
0,129,85,0,1
0,129,88,0,1
0,130,73,0,2
0,130,76,0,1
0,131,72,0,2
0,131,73,0,27
0,131,75,0,1
0,131,76,0,1
0,131,77,0,1
0,131,80,0,2
0,131,81,0,9
0,132,73,0,8
0,132,74,1,4
0,132,81,0,3
0,133,66,0,1
0,133,70,1,0
0,133,75,0,2
0,133,78,0,1
0,133,79,0,1
0,133,103,0,1
0,134,64,0,4
0,134,67,1,0
0,134,68,0,2
0,134,71,0,2
0,134,72,0,3
0,134,87,0,1
0,134,95,1,0
0,135,69,0,1
0,135,72,0,1
0,135,73,0,6
0,135,74,0,9
0,135,75,0,1
0,135,76,0,3
0,135,100,0,1
0,136,68,0,5
0,136,70,1,10
0,136,71,0,2
0,136,72,0,1
0,136,73,0,3
0,136,74,0,5
0,136,75,0,1
0,136,79,0,1
0,137,65,0,1
0,137,66,0,1
0,137,68,0,1
0,137,71,0,1
0,137,72,0,3
0,137,75,0,1
0,138,66,0,1
0,138,67,0,4
0,138,69,0,2
