Jahr;Bezirk;Ortsteil;16all;50all;16leitung;50leitung;16rf;50rf
2011;Charlottenburg-Wilmersdorf;Charlottenburg;1;0;1;0;0;0
2011;Charlottenburg-Wilmersdorf;Charlottenburg-Nord;3;11;3;11;0;0
2011;Charlottenburg-Wilmersdorf;Grundewald;1;-3;1;-3;0;0
2011;Charlottenburg-Wilmersdorf;Halensee;0;2;0;2;0;0
2011;Charlottenburg-Wilmersdorf;Schmargendorf;0;4;0;4;0;0
2011;Charlottenburg-Wilmersdorf;Westend;1;2;1;2;0;0
2011;Charlottenburg-Wilmersdorf;Wilmersdorf;0;2;0;2;0;0
2011;Friedrichshain-Kreuzberg;Friedrichshain;9;18;9;18;0;0
2011;Friedrichshain-Kreuzberg;Kreuzberg;1;-3;1;-3;0;0
2011;Lichtenberg;Alt-Hohenschönhausen;1;7;1;7;0;0
2011;Lichtenberg;Falkenberg;2;-1;2;-1;0;0
2011;Lichtenberg;Fennpfuhl;-1;8;-1;8;0;0
2011;Lichtenberg;Friedrichsfelde;2;17;2;17;0;0
2011;Lichtenberg;Karlshorst;1;4;1;4;0;0
2011;Lichtenberg;Lichtenberg;2;3;2;3;0;0
2011;Lichtenberg;Malchow;8;3;8;3;0;0
2011;Lichtenberg;Neu-Hohenschönhausen;15;25;15;25;0;0
2011;Lichtenberg;Rummelsburg;5;18;5;18;0;0
2011;Lichtenberg;Wartenberg;19;24;19;24;0;0
2011;Marzahn-Hellersdorf;Biesdorf;1;-2;1;-2;0;0
2011;Marzahn-Hellersdorf;Hellersdorf;2;25;2;25;0;0
2011;Marzahn-Hellersdorf;Kaulsdorf;3;0;3;0;0;0
2011;Marzahn-Hellersdorf;Mahlsdorf;-2;-9;-2;-9;0;0
2011;Marzahn-Hellersdorf;Marzahn;4;12;4;12;0;0
2011;Mitte;Gesundbrunnen;1;1;1;1;0;0
2011;Mitte;Hansaviertel;1;-1;1;-1;0;0
2011;Mitte;Mitte;1;15;5;15;0;0
2011;Mitte;Moabit;1;-1;1;-1;0;0
2011;Mitte;Tiergarten;1;0;1;0;0;0
2011;Mitte;Wedding;0;1;0;1;0;0
2011;Neukölln;Britz;3;8;3;8;0;0
2011;Neukölln;Buckow;2;2;2;2;0;0
2011;Neukölln;Gropiusstadt;3;4;3;4;0;0
2011;Neukölln;Neukölln;1;0;1;0;0;0
2011;Neukölln;Rudow;0;-1;0;-1;0;0
2011;Pankow;Blankenburg;-7;-13;-7;-13;0;0
2011;Pankow;Blankenfelde;-6;-1;-6;-1;0;0
2011;Pankow;Buch;-1;12;-1;12;0;0
2011;Pankow;FranzösischBuchholz;1;3;1;3;0;0
2011;Pankow;Heinersdorf;0;-2;0;-2;0;0
2011;Pankow;Karow;12;11;12;11;0;0
2011;Pankow;Niederschönhausen;9;12;9;12;0;0
2011;Pankow;Pankow;1;16;1;16;0;0
2011;Pankow;PrenzlauerBerg;1;4;1;4;0;0
2011;Pankow;Rosenthal;4;-2;4;-2;0;0
2011;Pankow;StadtrandsiedlungMalchow;1;-6;1;-6;0;0
2011;Pankow;Weißensee;4;27;4;27;0;0
2011;Pankow;Wilhelmsruh;1;1;1;1;0;0
2011;Reinickendorf;Frohnau;-1;-9;-1;-9;0;0
2011;Reinickendorf;Heiligensee;0;-8;0;-8;0;0
2011;Reinickendorf;Hermsdorf;0;-7;0;-7;0;0
2011;Reinickendorf;Konradshöhe;3;-4;3;-4;0;0
2011;Reinickendorf;Lübars;1;-5;1;-5;0;0
2011;Reinickendorf;MärkischesViertel;1;1;1;1;0;0
2011;Reinickendorf;Reinickendorf;1;7;1;7;0;0
2011;Reinickendorf;Tegel;2;4;2;4;0;0
2011;Reinickendorf;Waldmannslust;1;10;1;10;0;0
2011;Reinickendorf;Wittenau;2;7;2;7;0;0
2011;Spandau;FalkenhagenerFeld;1;12;1;12;0;0
2011;Spandau;Gatow;-2;1;-2;1;0;0
2011;Spandau;Hakenfelde;6;12;6;12;0;0
2011;Spandau;Haselhorst;2;7;2;7;0;0
2011;Spandau;Kladow;-8;-8;-8;-8;0;0
2011;Spandau;Siemensstadt;3;-1;3;-1;0;0
2011;Spandau;Spandau;1;3;1;3;0;0
2011;Spandau;Staaken;2;5;2;5;0;0
2011;Spandau;Wilhelmsstadt;2;8;2;8;0;0
2011;Steglitz-Zehlendorf;Dahlem;4;4;4;4;0;0
2011;Steglitz-Zehlendorf;Lankwitz;1;8;1;8;0;0
2011;Steglitz-Zehlendorf;Lichterfelde;0;-4;0;-4;0;0
2011;Steglitz-Zehlendorf;Nikolassee;-2;-8;-2;-8;0;0
2011;Steglitz-Zehlendorf;Steglitz;0;2;0;2;0;0
2011;Steglitz-Zehlendorf;Wannsee;1;3;1;3;0;0
2011;Steglitz-Zehlendorf;Zehlendorf;0;2;0;2;0;0
2011;Tempelhof-Schöneberg;Friedenau;1;0;1;0;0;0
2011;Tempelhof-Schöneberg;Lichtenrade;1;1;1;1;0;0
2011;Tempelhof-Schöneberg;Mariendorf;1;4;1;4;0;0
2011;Tempelhof-Schöneberg;Marienfelde;1;2;1;2;0;0
2011;Tempelhof-Schöneberg;Schöneberg;0;-2;0;-2;0;0
2011;Tempelhof-Schöneberg;Tempelhof;1;6;1;6;0;0
2011;Treptow-Köpenick;Adlershof;0;5;0;5;0;0
2011;Treptow-Köpenick;Altglienicke;-1;5;-1;5;0;0
2011;Treptow-Köpenick;Alt-Treptow;2;0;2;0;0;0
2011;Treptow-Köpenick;Baumschulenweg;0;8;0;8;0;0
2011;Treptow-Köpenick;Bohnsdorf;-1;-4;-1;-4;0;0
2011;Treptow-Köpenick;Friedrichshagen;2;7;2;7;0;0
